2025-11-11 21:19:39.502 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product WMCPCBB300: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.504 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.504 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.504 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product PDI: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.504 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.504 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.504 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CFOT: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.504 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.504 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.504 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CIVBMIN90: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.504 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.504 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.504 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CCPLCH: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.504 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.504 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
